Airport Code, Latitude, Longitude
UVF, 13.733194,-60.952597
UIO, -0.1865944,-78.4305382
GYE, -2.15977,-79.92824
TPA, 27.975472,-82.53325
SYR, 43.111187,-76.106311
SXM, 18.040953,-63.1089
SWF, 41.504094,-74.104839
STX, 17.701889,-64.798556
STT, 18.337306,-64.973361
STI, 19.406092,-70.604689
SRQ, 27.395444,-82.554389
SNU, 22.4244,-79.9417
SMF, 38.695417,-121.590778
SLC, 40.788389,-111.977772
SJU, 18.439417,-66.001833
SJO, 9.993861,-84.208806
SJC, 37.3626,-121.929022
SFO, 37.618972,-122.374889
SEA, 47.449,-122.309306
SDQ, 18.429664,-69.668925
SAV, 32.127583,-81.202139
SAN, 32.733556,-117.189667
RSW, 26.536167,-81.755167
ROC, 43.118866,-77.672389
RNO, 39.499591,-119.768095
RIC, 37.505167,-77.319667
RDU, 35.877639,-78.787472
PWM, 43.646161,-70.309281
PVD, 41.732581,-71.420383
PUJ, 18.567367,-68.363431
PSE, 18.008306,-66.563028
PSP, 33.7716325,-116.563947
POS, 10.666667,-61.516667
POP, 19.7579,-70.570033
PLS, 21.773625,-72.265886
PIT, 40.491467,-80.232872
PHX, 33.434278,-112.011583
PHL, 39.871944,-75.241139
PDX, 45.588722,-122.5975
PBI, 26.683161,-80.095589
PAP, 18.58005,-72.292542
ORH, 42.2673,-71.8757
ORD, 41.978603,-87.904842
ONT, 34.0633,-117.6509
OAK, 37.721278,-122.220722
NYC, 40.714167,-74.005833
NAS, 25.038958,-77.466231
MVY, 41.391667,-70.615278
MSY, 29.993389,-90.258028
MSP, 44.975918,-93.258133
MEX, 19.436076,-99.071908
MDE, 6.164536,-75.423119
MCO, 28.429394,-81.308994
MBJ, 18.503717,-77.913358
LRM, 18.450711,-68.911833
LIR, 10.593289,-85.544408
LIM, -12.021889,-77.114319
LGB, 33.817722,-118.151611
LGA, 40.777245,-73.872608
LAX, 33.942536,-118.408075
LAS, 36.080056,-115.15225
KIN, 17.935667,-76.7875
JFK, 40.639751,-73.778925
JAX, 30.494056,-81.687861
IAD, 38.944533,-77.455811
HYA, 41.6694,-70.2803
HPN, 41.066959,-73.707575
HOU, 29.645419,-95.278889
HOG, 20.8795,-76.2595
HDN, 40.4894,-107.2637
HAV, 22.989,-82.409
GND, 12.004167,-61.786111
GCM, 19.292778,-81.35775
FLL, 26.072583,-80.15275
EWR, 40.6925,-74.168667
DAB, 29.2816376,-81.4960352
DTW, 42.212444,-83.353389
DFW, 32.896828,-97.037997
DEN, 39.861656,-104.673178
DCA, 38.852083,-77.037722
CUN, 21.036528,-86.877083
CUR, 12.343878, -69.141842
CTG, 10.442381,-75.512961
CMW, 21.3864,-77.9675
CLE, 41.412434,-81.847992
CLT, 35.214,-80.943139
CHS, 32.898647,-80.040528
BZN, 45.6770,-111.0429
BWI, 39.175361,-76.668333
BUR, 34.200667,-118.358667
BUF, 42.940525,-78.732167
BTV, 44.471861,-73.153278
BQN, 18.494861,-67.129444
BOS, 42.364347,-71.005181
BOG, 4.701594,-74.146947
BNA, 36.1866405,-86.7852455
BGI, 13.074603,-59.492456
BDL, 41.938889,-72.683222
BDA, 32.364042,-64.678703
AUS, 30.194528,-97.669889
AUA, 12.501389, -70.015221
ATL, 33.6407,-84.4277
ANC, 61.174361,-149.996361
ANU, 17.0856927,-61.7897027
ALB, 42.748712,-73.805498
ACK, 41.253053,-70.060181
ABQ, 35.0402222,-106.6091944
